,attendance,away_team,away_team_errors,away_team_hits,away_team_runs,game_duration,game_type,home_team,home_team_errors,home_team_hits,home_team_runs,start_time,venue,weekend,day,month,year
0,"40,030",New York Mets,1,7,3, 3:13,"Night Game, on grass",Kansas City Royals,0,9,4, 7:38 p.m. , Kauffman Stadium,Sunday,3,April, 2016
1,"21,621",Philadelphia Phillies,0,5,2, 2:23,"Night Game, on grass",Cincinnati Reds,0,8,3, 7:11 p.m. , Great American Ball Park,Wednesday,6,April, 2016
2,"12,622",Minnesota Twins,0,5,2, 3:11,"Night Game, on grass",Baltimore Orioles,0,9,4, 7:07 p.m. , Oriole Park at Camden Yards,Wednesday,6,April, 2016
3,"18,531",Washington Nationals,0,8,3, 2:53,"Night Game, on grass",Atlanta Braves,1,8,1, 7:10 p.m. , Turner Field,Wednesday,6,April, 2016
4,"18,572",Colorado Rockies,1,8,4, 2:39,"Day Game, on grass",Arizona Diamondbacks,0,8,3, 12:40 p.m. , Chase Field,Wednesday,6,April, 2016
5,"28,386",Seattle Mariners,1,11,10, 3:30,"Night Game, on grass",Texas Rangers,1,7,2, 7:07 p.m. , Globe Life Park in Arlington,Tuesday,5,April, 2016
6,"12,757",Toronto Blue Jays,0,9,2, 3:07,"Night Game, on turf",Tampa Bay Rays,1,7,3, 7:10 p.m. , Tropicana Field,Tuesday,5,April, 2016
7,"28,329",Los Angeles Dodgers,0,6,3, 2:36,"Night Game, on grass",San Diego Padres,1,2,0, 7:11 p.m. , Petco Park,Tuesday,5,April, 2016
8,"26,049",St. Louis Cardinals,1,8,5, 3:27,"Night Game, on grass",Pittsburgh Pirates,2,12,6, 7:08 p.m. , PNC Park,Tuesday,5,April, 2016
9,"10,478",Chicago White Sox,0,11,5, 3:28,"Night Game, on grass",Oakland Athletics,0,10,4, 7:08 p.m. , Oakland-Alameda County Coliseum,Tuesday,5,April, 2016
10,"47,820",Houston Astros,0,6,5, 3:17,"Day Game, on grass",New York Yankees,1,4,3, 1:11 p.m. , Yankee Stadium III,Tuesday,5,April, 2016
11,"24,123",San Francisco Giants,0,7,2, 2:29,"Night Game, on grass",Milwaukee Brewers,0,6,1, 7:10 p.m. , Miller Park,Tuesday,5,April, 2016
12,"36,911",Detroit Tigers,1,12,8, 3:47,"Night Game, on grass",Miami Marlins,2,10,7, 7:37 p.m. , Marlins Park,Tuesday,5,April, 2016
13,"13,468",Texas Rangers,0,14,7, 3:00,"Night Game, on grass",Seattle Mariners,0,7,3, 7:10 p.m. , Safeco Field,Monday,11,April, 2016
14,"45,229",San Diego Padres,0,6,4, 2:51,"Day Game, on grass",Philadelphia Phillies,0,8,3, 3:09 p.m. , Citizens Bank Park,Monday,11,April, 2016
15,"13,371",Los Angeles Angels of Anaheim,0,9,4, 3:05,"Night Game, on grass",Oakland Athletics,0,10,1, 7:07 p.m. , Oakland-Alameda County Coliseum,Monday,11,April, 2016
16,"24,318",Miami Marlins,1,15,10, 3:45,"Night Game, on grass",New York Mets,0,7,3, 7:11 p.m. , Citi Field,Monday,11,April, 2016
17,"40,638",Chicago White Sox,0,9,4, 3:05,"Day Game, on grass",Minnesota Twins,1,6,1, 3:16 p.m. , Target Field,Monday,11,April, 2016
18,"43,332",Kansas City Royals,0,11,2, 2:59,"Night Game, on grass",Houston Astros,0,14,8, 7:12 p.m. , Minute Maid Park,Monday,11,April, 2016
19,"26,271",Pittsburgh Pirates,1,17,7, 3:17,"Day Game, on grass",Detroit Tigers,0,6,4, 1:10 p.m. , Comerica Park,Monday,11,April, 2016
20,"40,882",Cincinnati Reds,1,7,3, 3:03,"Night Game, on grass",Chicago Cubs,0,3,5, 7:06 p.m. , Wrigley Field,Monday,11,April, 2016
21,"21,203",Kansas City Royals,0,13,6, 2:41,"Night Game, on grass",Houston Astros,0,5,2, 7:11 p.m. , Minute Maid Park,Thursday,14,April, 2016
22,"21,226",San Francisco Giants,1,9,6, 3:26,"Day Game, on grass",Colorado Rockies,3,13,11, 1:10 p.m. , Coors Field,Thursday,14,April, 2016
23,"34,898",Cincinnati Reds,2,6,1, 3:07,"Night Game, on grass",Chicago Cubs,0,11,8, 7:05 p.m. , Wrigley Field,Thursday,14,April, 2016
24,"19,400",Atlanta Braves,0,5,0, 2:12,"Night Game, on grass",Washington Nationals,0,4,3, 7:05 p.m. , Nationals Park,Wednesday,13,April, 2016
25,"27,938",New York Yankees,1,8,2, 2:43,"Night Game, on turf",Toronto Blue Jays,0,10,7, 7:08 p.m. , Rogers Centre,Wednesday,13,April, 2016
26,"16,783",Toronto Blue Jays,0,8,4, 2:50,"Night Game, on grass",Baltimore Orioles,1,7,3, 7:09 p.m. , Oriole Park at Camden Yards,Tuesday,19,April, 2016
